S.No.,"Vendor
Name","GST
IN",State,Manufacturer,"Drug
License
No.","Store
Name","PO
No.","PO
Date","GRN
No.","GRN
Status",GRN Type,"GRN
Date","GRN
Compl.
Date","Invoice
No.","Invoice
Date","Drug
Code","Drug
Description","HSN
Code","Purchase
UOM","Batch
No.","Mfg
Date","Expiry
Date","Free
Item",Tax Scheme Name,Qty,Rate,MRP,"MRP
(I/E)","Total
Rate","Disc
Amt","Tax
Amt","Grand
Total"
48,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5102,17/09/2026,SE/PH/GRN/26/6688,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57166,17/09/2026,KID5ML,Kidtro Eye Drops 5Ml,30049099,(1.00 x Bottle),134196^GTH1234A,01/04/2026,30/09/2027,N,Outside State Purchase GST-5%,10.00,172.78,300.00,I,1727.80,86.39,82.07,1723.48
49,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5102,17/09/2026,SE/PH/GRN/26/6688,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57166,17/09/2026,LZD025,Lonazep MD 0.25mg Tab,30049082,Tablet,132433^GTH0945A,01/03/2026,28/02/2028,N,Outside State Purchase GST-5%,1500.00,1.44,2.15,I,2160.00,108.00,102.60,2154.60
50,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5102,17/09/2026,SE/PH/GRN/26/6688,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57166,17/09/2026,NFT100,Niftran 100mg Cap (10),30049099,Bottle,141058^JED0016,01/07/2026,30/06/2028,N,Outside State Purchase GST-5%,75.00,52.74,92.88,I,3955.50,197.78,187.89,3945.61
51,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5102,17/09/2026,SE/PH/GRN/26/6688,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57166,17/09/2026,SYN0125,Syndopa CR 125mg Tab,30049099,Tablet,141116^GKH1128A,01/07/2026,30/06/2028,N,Outside State Purchase GST-5%,400.00,2.08,3.00,I,831.20,41.56,39.48,829.12
52,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zuventus Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5119,17/09/2026,SE/PH/GRN/26/6689,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29921,18/09/2026,ACSF20,Ancool Suspension 200ml (Sugar free),30049039,Bottle,141177^Z06AK26004,01/07/2026,30/06/2028,N,Outside State Purchase GST-5%,100.00,92.70,204.25,I,9270.00,463.50,440.32,9246.83
53,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zuventus Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5119,17/09/2026,SE/PH/GRN/26/6689,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29921,18/09/2026,VIT600,Vitanova-D3 6L Inj,30045036,Nos,141835^ZPN3AA6004,01/05/2026,30/04/2028,N,Outside State Purchase GST-5%,90.00,37.93,65.60,I,3413.70,170.69,162.15,3405.17
54,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5202,17/09/2026,SE/PH/GRN/26/6690,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-40441,18/09/2026,TBM300,Tobamist Respules,30049087,Respules,141577^6GA0082,01/03/2026,28/02/2028,N,Outside State Purchase GST-5%,80.00,406.60,645.71,I,32528.00,1626.40,1545.08,32446.68
55,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zuventus Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5119,17/09/2026,SE/PH/GRN/26/6691,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29571,17/09/2026,ACSF20,Ancool Suspension 200ml (Sugar free),30049039,Bottle,141177^Z06AK26004,01/07/2026,30/06/2028,N,Outside State Purchase GST-5%,20.00,92.70,204.25,I,1854.00,92.70,88.06,1849.37
56,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zuventus Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5119,17/09/2026,SE/PH/GRN/26/6691,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29571,17/09/2026,MXLV500,Maxiliv 500mg Tab,21069099,Tablet,139915^ZPF2AC6005,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,220.00,50.00,140.90,I,11000.00,550.00,522.50,10972.50
57,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zuventus Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5119,17/09/2026,SE/PH/GRN/26/6691,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29571,17/09/2026,MYTP0150,Myotop 150mg tablet,30049069,Tablet,126899^Z05BJ26002,01/03/2026,31/08/2028,N,Outside State Purchase GST-5%,400.00,11.26,19.48,I,4503.60,225.18,213.92,4492.34
58,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zuventus Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5119,17/09/2026,SE/PH/GRN/26/6691,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29571,17/09/2026,MYTP0150,Myotop 150mg tablet,30049069,Tablet,141843^Z05BJ26006,01/05/2026,31/10/2028,N,Outside State Purchase GST-5%,200.00,11.26,19.48,I,2251.80,112.59,106.96,2246.17
59,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5068,15/09/2026,SE/PH/GRN/26/6692,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-40403,18/09/2026,UMX200,Urimax 200mcg Cap,30049099,(1.00 x Capsules),141840^5BB0196,01/08/2025,31/01/2028,N,Outside State Purchase GST-5%,105.00,9.80,12.87,I,1029.48,51.47,48.90,1026.91
60,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,Eli Lilly and Company (India),"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5089-A,19/09/2026,SE/PH/GRN/26/6693,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57003,16/09/2026,RMN150,Ramiven 150mg Tab (7's),30049095,Tablet,141834^D938267,01/05/2025,30/04/2028,N,Outside State Purchase GST-5%,2.00,8527.14,11191.87,I,17054.28,0.00,852.71,17906.99
61,PHARMAGIX,06ABBFP4852H1Z8,Haryana,Glenmark pharmaceuticals Limited,"21B -WLF21B2024HR002161, 20B - WLF20B2024HR002157",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5178,17/09/2026,SE/PH/GRN/26/6694,CLOSED,Against PO,19/09/2026,19/09/2026,A002616,19/09/2026,ALXLZ,Alex Lozenges,30049099,Tablet,132702^73260013,01/05/2026,30/04/2029,N,Inside State Purchase GST-5%,200.00,3.50,13.22,I,700.00,35.00,33.25,698.25
62,PHARMAGIX,06ABBFP4852H1Z8,Haryana,Glenmark pharmaceuticals Limited,"21B -WLF21B2024HR002161, 20B - WLF20B2024HR002157",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5178,17/09/2026,SE/PH/GRN/26/6694,CLOSED,Against PO,19/09/2026,19/09/2026,A002616,19/09/2026,EPT025,Eptus 25mg Tab,30049079,Tablet,141848^18260494,01/07/2026,30/06/2029,N,Inside State Purchase GST-5%,450.00,14.00,45.00,I,6300.00,315.00,299.25,6284.25
63,PHARMAGIX,06ABBFP4852H1Z8,Haryana,Glenmark pharmaceuticals Limited,"21B -WLF21B2024HR002161, 20B - WLF20B2024HR002157",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5178,17/09/2026,SE/PH/GRN/26/6694,CLOSED,Against PO,19/09/2026,19/09/2026,A002616,19/09/2026,GLV750,Glevo 750mg Tab,30042039 ,Tablet,141227^TB-052651,01/05/2026,30/04/2028,N,Inside State Purchase GST-5%,230.00,6.50,13.38,I,1495.00,74.75,71.01,1491.26
64,PHARMAGIX,06ABBFP4852H1Z8,Haryana,Glenmark pharmaceuticals Limited,"21B -WLF21B2024HR002161, 20B - WLF20B2024HR002157",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5178,17/09/2026,SE/PH/GRN/26/6694,CLOSED,Against PO,19/09/2026,19/09/2026,A002616,19/09/2026,SACU50,Sacu-v 50 Tab,30049099,Tablet,140631^SCA04F26,01/06/2026,31/05/2028,N,Inside State Purchase GST-5%,560.00,5.00,23.36,I,2800.00,140.00,133.00,2793.00
65,PHARMAGIX,06ABBFP4852H1Z8,Haryana,Glenmark pharmaceuticals Limited,"21B -WLF21B2024HR002161, 20B - WLF20B2024HR002157",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5178,17/09/2026,SE/PH/GRN/26/6694,CLOSED,Against PO,19/09/2026,19/09/2026,A002616,19/09/2026,STZM1000,Sitazit M 50/1000 Tab,30049099,Tablet,137409^18260416,01/06/2026,31/05/2028,N,Inside State Purchase GST-5%,500.00,5.50,16.27,I,2750.00,137.50,130.62,2743.12
66,PHARMAGIX,06ABBFP4852H1Z8,Haryana,JENOME BIOPHAR(BRYOGEN),"21B -WLF21B2024HR002161, 20B - WLF20B2024HR002157",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5178,17/09/2026,SE/PH/GRN/26/6694,CLOSED,Against PO,19/09/2026,19/09/2026,A002616,19/09/2026,CTR100,Ca Atra 10mg Capsules (100's),30049099,Bottle,116171^P508006A,01/12/2025,30/11/2027,N,Inside State Purchase GST-5%,4.00,1500.00,8156.00,I,6000.00,300.00,285.00,5985.00
67,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5101,17/09/2026,SE/PH/GRN/26/6695,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57158,17/09/2026,BRVP10,Brevipil 10mg/ml Inj 5ml,30049082,Vial,138518^GTH0701B,01/02/2026,31/01/2028,N,Outside State Purchase GST-5%,180.00,109.96,176.00,I,19792.80,989.64,940.16,19743.32
68,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5101,17/09/2026,SE/PH/GRN/26/6695,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57158,17/09/2026,DRE500,Dicorate ER 500mg Tab,30049081,(1.00 x Tablet),141120^GKH0902A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,700.00,14.06,22.50,I,9839.90,492.00,467.40,9815.30
69,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5101,17/09/2026,SE/PH/GRN/26/6695,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57158,17/09/2026,LCST100,Lacoset 100mg Tab,30049099,Tablet,141852^SIH1082A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,500.00,12.42,19.88,I,6208.50,310.43,294.90,6192.98
70,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5101,17/09/2026,SE/PH/GRN/26/6695,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57158,17/09/2026,RCN025,Revocon 25mg Tab,30049099,Tablet,134686^GTH1815A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,180.00,28.99,46.40,I,5218.02,260.90,247.86,5204.98
71,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5101,17/09/2026,SE/PH/GRN/26/6695,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57158,17/09/2026,RIFA400,RIFAGUT 400 Mg Tab,30049099,Tablet,141359^GKH1119A,01/07/2026,30/06/2028,N,Outside State Purchase GST-5%,400.00,17.14,45.00,I,6857.20,342.86,325.72,6840.06
72,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5101,17/09/2026,SE/PH/GRN/26/6695,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57158,17/09/2026,RAR015,Rivamer 1.5mg Cap,30049099,(1.00 x Capsules),141351^SIH1067A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,180.00,16.53,21.70,I,2976.12,148.81,141.37,2968.68
73,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5101,17/09/2026,SE/PH/GRN/26/6695,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57158,17/09/2026,SLDL8,Silodal 8mg Cap,30049099,Capsule,141851^SIH1290A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,700.00,18.23,31.90,I,12760.30,638.01,606.11,12728.40
74,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Delhi,SUN PHARMACEUTICAL INDUSTRIES LTD,"20B-DL-TGB-107397, 20F-DL-TGB-114185,21B-DL-TGB-10",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4828,07/09/2026,SE/PH/GRN/26/6695,CLOSED,Against PO,19/09/2026,19/09/2026,SB-26-57158,17/09/2026,RAR015,Rivamer 1.5mg Cap,30049099,(1.00 x Capsules),141351^SIH1067A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,120.00,16.53,21.70,I,1984.08,99.20,94.24,1979.12
75,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,loreal India Pvt. Ltd.,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5156,17/09/2026,SE/PH/GRN/26/6696,CLOSED,Against PO,19/09/2026,19/09/2026,LOD-26-515,18/09/2026,CHC236,Cerave Hydrating Cleanser 236ml,33049930,Bottle,135206^B76A600,01/06/2026,30/06/2029,N,Outside State Purchase GST-18%,2.00,408.58,799.00,I,817.16,40.86,139.73,916.04
76,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,loreal India Pvt. Ltd.,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5156,17/09/2026,SE/PH/GRN/26/6696,CLOSED,Against PO,19/09/2026,19/09/2026,LOD-26-515,18/09/2026,CHC236,Cerave Hydrating Cleanser 236ml,33049930,Bottle,141849^B76A701,01/07/2026,31/07/2029,N,Outside State Purchase GST-18%,48.00,408.58,799.00,I,19611.84,980.59,3353.62,21984.87
77,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,loreal India Pvt. Ltd.,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5156,17/09/2026,SE/PH/GRN/26/6696,CLOSED,Against PO,19/09/2026,19/09/2026,LOD-26-515,18/09/2026,CHC236,Cerave Hydrating Cleanser 236ml,33049930,Bottle,141850^B76A700,01/07/2026,31/07/2029,N,Outside State Purchase GST-18%,10.00,408.58,799.00,I,4085.80,204.29,698.67,4580.18
78,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,loreal India Pvt. Ltd.,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5156,17/09/2026,SE/PH/GRN/26/6696,CLOSED,Against PO,19/09/2026,19/09/2026,LOD-26-515,18/09/2026,CRVL236,CeraVe Moisturising Lotion 236ml,33049930,Bottle,129914^B76A400,01/04/2026,30/04/2029,N,Outside State Purchase GST-18%,5.00,699.93,1359.00,I,3499.65,174.98,598.44,3923.11
79,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,loreal India Pvt. Ltd.,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5156,17/09/2026,SE/PH/GRN/26/6696,CLOSED,Against PO,19/09/2026,19/09/2026,LOD-26-515,18/09/2026,CRVL236,CeraVe Moisturising Lotion 236ml,33049930,Bottle,129914^B76A400,01/04/2026,30/04/2029,N,Outside State Purchase GST-18%,25.00,699.93,1359.00,I,17498.25,874.91,2992.20,19615.54
80,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5125,17/09/2026,SE/PH/GRN/26/6697,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-40435,18/09/2026,CBT1000,Cefbact 1000mg  Inj,30042019,Vial,138373^AFN26018,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,40.00,18.20,67.06,I,728.00,36.40,34.58,726.18
81,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5125,17/09/2026,SE/PH/GRN/26/6697,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-40435,18/09/2026,CBT1000,Cefbact 1000mg  Inj,30042019,Vial,141853^EABQ26015A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,680.00,18.20,67.06,I,12376.00,618.80,587.86,12345.06
82,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Cipla Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5125,17/09/2026,SE/PH/GRN/26/6697,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-40435,18/09/2026,CBT1000,Cefbact 1000mg  Inj,30042019,Vial,141854^IABJ26002A,01/06/2026,31/05/2028,N,Outside State Purchase GST-5%,780.00,18.20,67.06,I,14196.00,709.80,674.31,14160.51
83,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Integrace Private Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5155,17/09/2026,SE/PH/GRN/26/6698,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-40425,18/09/2026,DBNR30,Dubinor Gel 30gm,30049099,Tube,140342^DG1H605,01/07/2026,31/12/2027,N,Outside State Purchase GST-5%,51.00,167.00,399.00,I,8517.00,425.85,404.56,8495.71
84,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Delhi,Integrace Private Ltd,FORM 20B-DL-HRN-123525/FORM 21 B-DL-HRN-123526,PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5155,17/09/2026,SE/PH/GRN/26/6698,CLOSED,Against PO,19/09/2026,19/09/2026,DEL-26-40425,18/09/2026,VTP050,Vorth TP 50mg Tab,30049069,Tablet,132909^VP2PC602,01/04/2026,31/03/2028,N,Outside State Purchase GST-5%,700.00,11.00,28.10,I,7700.00,385.00,365.75,7680.75
85,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zydus Cadila Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5121,17/09/2026,SE/PH/GRN/26/6699,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29976,18/09/2026,AMNC05,Amnac 0.1%w/v  Eye Drops 5ml,30049069,Bottle,122224^ASB1019,01/10/2025,30/09/2027,N,Outside State Purchase GST-5%,30.00,48.00,198.70,I,1440.00,72.00,68.40,1436.40
86,R.K Pharma,07AAIFR7148G1ZY,Delhi,Zydus Cadila Healthcare Ltd,"DL- MLN-111700, DL- MLN-111701",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5121,17/09/2026,SE/PH/GRN/26/6699,CLOSED,Against PO,19/09/2026,19/09/2026,MD/26-27/29976,18/09/2026,CLT025,Calcit SG 0.25mcg Cap,30049029,(1.00 x Capsules),139996^CYC1017,01/02/2026,31/01/2028,N,Outside State Purchase GST-5%,300.00,5.00,12.73,I,1500.00,75.00,71.25,1496.25
87,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Delhi,APEX Laboratories Limited,"21B/DL/BTG/118319, 20B/DL/PTG/118318",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5281,19/09/2026,SE/PH/GRN/26/6700,CLOSED,Against PO,19/09/2026,19/09/2026,AP00001114,19/09/2026,ZCV015,Zincovit tab,21069099,Tablet,141870^ZVT26151,01/06/2026,30/11/2027,N,Outside State Purchase GST-5%,450.00,3.83,7.18,I,1723.50,0.00,86.17,1809.67
88,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Delhi,APEX Laboratories Limited,"21B/DL/BTG/118319, 20B/DL/PTG/118318",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5281,19/09/2026,SE/PH/GRN/26/6700,CLOSED,Against PO,19/09/2026,19/09/2026,AP00001114,19/09/2026,TFDM30,Tufderm Cream 30gm,30043200,Tube,138189^TDC2603,01/05/2026,30/04/2028,N,Outside State Purchase GST-5%,60.00,66.00,158.62,I,3960.00,0.00,198.00,4158.00
89,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Delhi,APEX Laboratories Limited,"21B/DL/BTG/118319, 20B/DL/PTG/118318",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/5281,19/09/2026,SE/PH/GRN/26/6700,CLOSED,Against PO,19/09/2026,19/09/2026,AP00001114,19/09/2026,P250,P-250mg/5ml Suspension 60ml,30049069,Bottle,141869^PTS26161,01/08/2026,31/07/2028,N,Outside State Purchase GST-5%,120.00,19.28,42.84,I,2313.60,0.00,115.68,2429.28
90,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Delhi,APEX MEDICAL,"21B/DL/BTG/118319, 20B/DL/PTG/118318",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4764,07/09/2026,SE/PH/GRN/26/6700,CLOSED,Against PO,19/09/2026,19/09/2026,AP00001114,19/09/2026,AON001,Acton OR 1000mg Tab,30049069,Tablet,141867^ART26062,01/07/2026,30/06/2029,N,Outside State Purchase GST-5%,1980.00,2.86,6.60,I,5662.80,0.00,283.14,5945.94
91,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Delhi,APEX Laboratories Limited,"21B/DL/BTG/118319, 20B/DL/PTG/118318",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4764,07/09/2026,SE/PH/GRN/26/6700,CLOSED,Against PO,19/09/2026,19/09/2026,AP00001114,19/09/2026,DWT30,Dweet 3 Drops 30ml,30045039,Bottle,136504^DWF26005,01/05/2026,31/10/2027,N,Outside State Purchase GST-5%,66.00,30.64,84.42,I,2022.24,0.00,101.11,2123.35
92,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Delhi,APEX Laboratories Limited,"21B/DL/BTG/118319, 20B/DL/PTG/118318",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4764,07/09/2026,SE/PH/GRN/26/6700,CLOSED,Against PO,19/09/2026,19/09/2026,AP00001114,19/09/2026,P250,P-250mg/5ml Suspension 60ml,30049069,Bottle,141869^PTS26161,01/08/2026,31/07/2028,N,Outside State Purchase GST-5%,120.00,19.28,42.84,I,2313.60,0.00,115.68,2429.28
93,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Delhi,APEX Laboratories Limited,"21B/DL/BTG/118319, 20B/DL/PTG/118318",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4764,07/09/2026,SE/PH/GRN/26/6700,CLOSED,Against PO,19/09/2026,19/09/2026,AP00001114,19/09/2026,TFDM30,Tufderm Cream 30gm,30043200,Tube,138189^TDC2603,01/05/2026,30/04/2028,N,Outside State Purchase GST-5%,20.00,66.00,158.62,I,1320.00,0.00,66.00,1386.00
94,BHATIA MEDIWAYS AGENCIES(APEX CFA),07ACSPB6405G1ZP,Delhi,APEX Laboratories Limited,"21B/DL/BTG/118319, 20B/DL/PTG/118318",PS/MN/20B/00 (PH MAIN STORE),SE/PH/2026-27/4293,21/08/2026,SE/PH/GRN/26/6700,CLOSED,Against PO,19/09/2026,19/09/2026,AP00001114,19/09/2026,ZCV015,Zincovit tab,21069099,Tablet,141868^ZVT26152,01/06/2026,30/11/2027,N,Outside State Purchase GST-5%,3450.00,3.83,7.18,I,13213.50,0.00,660.67,13874.17
